id,歌曲名,评论内容,点赞数
417859631,我好像在哪见过你,多少人等到了零点！,80071
29774609,Windfall,有个大神在前面评论，加的歌词：看那个单身狗，看那个单身狗，看那个单身狗，看，那，个，单，身，狗……,80042
1212320,Sketch Plane,15年前广州郊区一间黑网吧、还是学生的我用吃饭的钱买下了老板的一张翻版cd、我相信那就是一见钟情、后来毕业的时候被偷了、、15年来我逛了能逛的所有音像店、却一直没有找到！cd是一位加拿大女歌手的、全张专辑没有歌词全是吟唱、封面浅黄色、是她的上半身特写、她闭着眼！我只记得这么多！网易帮帮我,79141
32507038,演员,这不是微博上辣个段子手吗 唱歌也好好听诶[憨笑],78705
406475394,Wonderful U - Demo Version,在家楼下逛了两圈单曲循环这首歌，听完就把那段感情放弃了，我喜欢了快7年的人等了也快七年，重新再见后他说等他来找我，一个多月啦不想再等了，我放弃啦，我值得更爱我的呀[大笑],78690
17753288,What Makes You Beautiful,不知为什么，就感觉这封面上的团队比某中韩组合和某未成年组合阳光太多,78670
31445772,理想三旬,谢谢大家的赞，刚刚在学校官网拟录取信息里看到了自己的名字，忽然就忍不住流泪了…我是个大专生，然后上了专升本，第一次考研又失败了，这次是考研二战，我终于成功了…憋屈了六年了，这六年好难熬…现在瞬间释放了所有…感谢路上帮助过自己的每一个人，感谢不甘心的自己,78667
2526613,Booty Music,当初就手贱去查了歌词，后来看到在一个少儿节目里被当成舞蹈配乐了[大哭],78628
4224657,Apologize,这城市那么空。。。。。。,78481
38392240,惊天动地,来看看，大家都挺好的，谢谢，嗯。,78467
5179544,You're Beautiful,一直不能理解这首歌，只是单纯的觉得好听。直到上周末在广州地铁人流管制时，和一个长裙妹子擦身而过，然后心里有种不知道怎么形容的感觉，突然转过头，只想再看一眼那个妹子。在转过头的那一刹那，妹子竟也是突然转过身，她的目光找到我了，两人相视一笑。大脑轰的一声，突然就响起来了这首歌。[呆],78353
34229234,i hate u i love u,我忘记了你，但输入法却记得你。,78276
32922451,SOBER,歌词我翻的 快夸我,77564
4466775,Lost Rivers,一个便秘者的自我挣扎,77502
2526613,Booty Music,为什么国外的小黄歌都可以有这么好听的旋律。。[大哭],77209
139774,The truth that you leave,第一次是在高中，你让我坐在琴室听你弹刚学会的曲子；第二次是高三的晚自习，一人一个耳机，你在纸上写着“试着和你在一起”；第三次是在大二，我牵着你的手走过小巷，这首钢琴曲在旁边的小店缓缓播放；第四次，我在北纬39°的北京刷着你的微博，看着你在南纬37°的墨尔本牵着另一个男生的手，笑靥如花。,77192
186160,龙卷风,周杰伦把爱情比喻成龙卷风，我觉得特别贴切。因为很多人，像我。一辈子都没见过龙卷风。,77144
28639182,Try,现在好多人都是喜欢活在别人的眼里，别人喜欢什么样的就努力变成什么样的，时间久了，或许连自己都不知道自己到底是什么样的了吧，做别人眼中的自己做的再完美都不是真实的自己,76818
5253801,Free Loop,凌晨两点你发信息说这个好听 然后朦胧的起来听了 八年了 还是爱着你,76334
27583305,Here With You,The night is young  夜未央 The music's loud  乐未殇 神翻译[惊恐],76091
36990266,Faded,faded是fade的过去式，过去的过去已经过去了，唯有静观现在的生活，不以物喜，不以己悲。,75800
169185,认真的雪,当年读小学，现在念大学，时间算你绝～,75669
33211676,Hello,想收藏，但怕以后都推荐这种类型的歌，毕竟我是文青 。[这边],75441
186016,晴天,有没有85前听杰伦的来这？我84，2000年开始听刚上高一，现在都是俩孩的爹了，再听谢谢老歌好像回到了那时候的晚自习，在操场一起牵手的那个没成了孩他娘，但也没什么遗憾～,75419
28053533,玫瑰,我问一个女生她为什么不喜欢民谣，她说民谣听起来感觉很穷[大哭],75324
29460377,Empire of Angels,“大圣，此去欲何？”  “踏南天，碎凌霄” “如若一去不回……？” “便一去不回！”,75307
33211676,Hello,一共打了768下,75251
26060065,Counting Stars,最近非常喜欢这首歌，便设置为铃声，没想到去基友婚礼发现这货竟然也是这个铃声，还是自己截取制作的，顿时感慨万千。除了他是男的还有长得丑这两点不能接受，我真是应该娶了他。,75089
17194024,Cry On My Shoulder,今天下班有点晚，可地铁还是那么挤，在车尾无意看到一个满脸泪水的姑娘，她没有表情没有声音，但是眼泪一直在流，很想给她一个拥抱，我知道在这繁盛生命里的孤独，望你开心。--致陌生姑娘,74517
19567986,Glad You Came,我想在我的婚礼上用这首歌作为背景音乐跳一支舞！在这结婚之前两个月我要一个人悄悄的练习排练，到时候一定要惊艳我的新娘！,74460
29431066,奇妙能力歌,这歌意思大概就是 我已经这么NB了 但还是不懂你这个SB。,73838
33211676,Hello,刚起床听到室友在厕所放这首歌，我惊奇，推开厕所门一看，一人一桌一椅一扇一抚尺而已(doge,73604
29717271,Go Time,听这歌，坐公交车都坐出了宇宙战舰的感觉,73013
31445554,七月上,我的高中同学！！！！！！！[强][强][强][强][强][强][强][强],72978
28987626,Animals,我听歌时奶奶在旁边，问我是不是阿宝唱的，笑死我了。。。[大哭][大哭][大哭],72737
29567192,少年锦时,还是那样冷冷的调子。小店卖卡带，8块5一盒，我是VIP 随便挑。后来小店卖起了CD，小店老板也结婚了，守店的换成了老板娘。我依旧是VIP，只不过价钱高出不少。在后来，小店老板死于车祸，我依旧经常光顾，在后来，我成了小店老板。。。歌还是那首歌，冷冷的调子，在后来我又离婚了。还是冷冷的调子。。,72432
29019227,Sugar, 我结婚的时候婚庆公司差点给我放知心爱人，被我及时制止,72011
3986017,Viva La Vida,“我听这首歌的时候，每次都能看到：吊死在煤山上的崇祯；天安门上挥手的毛泽东，下面是疯狂的红卫兵；带着无数荣誉离开巴萨的瓜迪奥拉，诺坎普全场唱出这首他最爱的歌，挥手告别的背影。”萨米看到简直要哭了……,71858
27644359,Remember (Original Mix),完了，网易以为我只听纯音乐了,71850
31654455,Victory,莫名想到秦始皇的话:朕统六国，天下归一，筑长城以镇九州龙脉，卫我大秦、护我社稷。朕以始皇之名在此立誓！朕在，当守土开疆，扫平四夷，定我大秦万世之基！朕亡，亦将身化龙魂，佑我华夏永世不衰！此誓，日月为证，天地共鉴，仙魔鬼神共听之！,71798
28285910,岁月神偷,我以为只有我注意她胸大呢,71469
32507038,演员,南有薛之谦，北有大张伟，他们都是被唱歌事业所耽误的青年相声演员,70858
3935139,Breath and Life,妈的，再来一套黄冈密卷,70701
27795934,Wake,听歌老是幻想自己有这样的唱功，在舞台上该是如何光彩夺人,70625
28563317,阴天快乐,发行时间 :2014年05月15日,70503
4341314,Intro - intro,正在看快乐大本营，居然插曲放了这首！！！  我觉得快乐大本营把这首歌拉低了档次～,70241
1696373,Croatian Rhapsody,节奏大师里永远的手残曲目。。。,70223
4083642,She,封面亮瞎我的眼，网易干的漂亮！！！！,69569
41500546,China-X,最近会出Change实体签名专辑，希望大家帮我赞下让大家看到，关注我微博的话专辑做好我会微博发消息告诉大家的。谢谢你们支持我的音乐~,69044
